symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
AVAXUSDT,15m,macd_crossover,0,0,0,0,,,,
AVAXUSDT,15m,price_channel,0,0,0,0,,,,
AVAXUSDT,15m,volume_spike,0,0,0,0,,,,
AVAXUSDT,15m,atr_breakout,0,0,0,0,,,,
AVAXUSDT,15m,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,15m,golden_cross,0,0,0,0,,,,
AVAXUSDT,15m,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,15m,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,15m,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,30m,ema_crossover,0,0,0,0,,,,
AVAXUSDT,30m,macd_crossover,0,0,0,0,,,,
AVAXUSDT,30m,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,30m,stochastic,0,0,0,0,,,,
AVAXUSDT,30m,atr_breakout,0,0,0,0,,,,
AVAXUSDT,30m,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,30m,price_channel,0,0,0,0,,,,
AVAXUSDT,30m,volume_spike,0,0,0,0,,,,
AVAXUSDT,30m,golden_cross,0,0,0,0,,,,
AVAXUSDT,30m,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,30m,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,30m,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,1h,ema_crossover,0,0,0,0,,,,
AVAXUSDT,1h,macd_crossover,0,0,0,0,,,,
AVAXUSDT,1h,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,1h,stochastic,0,0,0,0,,,,
AVAXUSDT,1h,atr_breakout,0,0,0,0,,,,
AVAXUSDT,1h,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,1h,price_channel,0,0,0,0,,,,
AVAXUSDT,1h,volume_spike,0,0,0,0,,,,
AVAXUSDT,1h,golden_cross,0,0,0,0,,,,
AVAXUSDT,1h,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,1h,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,1h,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,4h,ema_crossover,0,0,0,0,,,,
AVAXUSDT,4h,macd_crossover,0,0,0,0,,,,
AVAXUSDT,4h,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,4h,stochastic,0,0,0,0,,,,
AVAXUSDT,4h,atr_breakout,0,0,0,0,,,,
AVAXUSDT,4h,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,4h,price_channel,0,0,0,0,,,,
AVAXUSDT,4h,volume_spike,0,0,0,0,,,,
AVAXUSDT,4h,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,4h,golden_cross,0,0,0,0,,,,
AVAXUSDT,1d,macd_crossover,0,0,0,0,,,,
AVAXUSDT,4h,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,4h,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,1d,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,1d,stochastic,0,0,0,0,,,,
AVAXUSDT,1d,ema_crossover,0,0,0,0,,,,
AVAXUSDT,1d,atr_breakout,0,0,0,0,,,,
AVAXUSDT,1d,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,1d,price_channel,0,0,0,0,,,,
AVAXUSDT,1d,volume_spike,0,0,0,0,,,,
AVAXUSDT,1d,golden_cross,0,0,0,0,,,,
AVAXUSDT,1d,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,1d,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,1d,bearish_engulfing,0,0,0,0,,,,
AXSUSDT,5m,rsi_ob_os,0,0,0,0,,,,
AXSUSDT,5m,stochastic,0,0,0,0,,,,
AXSUSDT,5m,macd_crossover,0,0,0,0,,,,
AXSUSDT,5m,ema_crossover,0,0,0,0,,,,
AXSUSDT,5m,bollinger_bounce,0,0,0,0,,,,
AXSUSDT,5m,atr_breakout,0,0,0,0,,,,
AXSUSDT,5m,price_channel,0,0,0,0,,,,
AXSUSDT,5m,volume_spike,0,0,0,0,,,,
